脱敏数据 随机生成编号,,
入库单号, 凭证金额 ,合同编号
113722077076," 382,166.00 ",ABCD202x-928
645727840740," 766,838.00 ",ABCD202x-886
653834434510," 690,737.00 ",ABCD202x-151
413779577615," 847,063.00 ",ABCD202x-825
804661127544," 596,856.00 ",ABCD202x-349
237436265398," 710,194.00 ",ABCD202x-799
267857416132," 920,221.00 ",ABCD202x-970
198065098033," 256,517.00 ",ABCD202x-668
844538050320," 885,773.00 ",ABCD202x-386
657054842470," 92,040.00 ",ABCD202x-673
